date_id,order_date,year_month,month,month_name,quarter,year,day_of_week,is_weekend
71,2021-05-18,2021-05,5,May,2,2021,1,False
72,2024-07-02,2024-07,7,July,3,2024,1,False
73,2024-02-16,2024-02,2,February,1,2024,4,False
74,2021-11-26,2021-11,11,November,4,2021,4,False
75,2024-02-01,2024-02,2,February,1,2024,3,False
76,2021-09-09,2021-09,9,September,3,2021,3,False
77,2021-09-08,2021-09,9,September,3,2021,2,False
78,2024-07-09,2024-07,7,July,3,2024,1,False
79,2023-02-28,2023-02,2,February,1,2023,1,False
80,2022-08-08,2022-08,8,August,3,2022,0,False
81,2022-12-07,2022-12,12,December,4,2022,2,False
82,2024-04-29,2024-04,4,April,2,2024,0,False
83,2022-01-02,2022-01,1,January,1,2022,6,True
84,2022-06-10,2022-06,6,June,2,2022,4,False
85,2021-11-16,2021-11,11,November,4,2021,1,False
86,2022-08-17,2022-08,8,August,3,2022,2,False
87,2021-11-23,2021-11,11,November,4,2021,1,False
88,2023-03-04,2023-03,3,March,1,2023,5,True
89,2023-12-16,2023-12,12,December,4,2023,5,True
90,2024-05-19,2024-05,5,May,2,2024,6,True
91,2020-05-14,2020-05,5,May,2,2020,3,False
92,2021-08-29,2021-08,8,August,3,2021,6,True
93,2024-11-10,2024-11,11,November,4,2024,6,True
94,2021-12-05,2021-12,12,December,4,2021,6,True
95,2024-07-05,2024-07,7,July,3,2024,4,False
96,2024-06-25,2024-06,6,June,2,2024,1,False
97,2024-05-31,2024-05,5,May,2,2024,4,False
98,2020-10-20,2020-10,10,October,4,2020,1,False
99,2022-08-11,2022-08,8,August,3,2022,3,False
100,2021-10-17,2021-10,10,October,4,2021,6,True
101,2023-09-20,2023-09,9,September,3,2023,2,False
102,2021-01-19,2021-01,1,January,1,2021,1,False
103,2020-08-21,2020-08,8,August,3,2020,4,False
104,2023-04-17,2023-04,4,April,2,2023,0,False
105,2023-12-24,2023-12,12,December,4,2023,6,True
106,2022-03-20,2022-03,3,March,1,2022,6,True
107,2021-08-12,2021-08,8,August,3,2021,3,False
108,2020-12-21,2020-12,12,December,4,2020,0,False
109,2023-07-07,2023-07,7,July,3,2023,4,False
110,2023-08-13,2023-08,8,August,3,2023,6,True
111,2021-02-04,2021-02,2,February,1,2021,3,False
112,2022-09-16,2022-09,9,September,3,2022,4,False
113,2022-05-06,2022-05,5,May,2,2022,4,False
114,2021-05-28,2021-05,5,May,2,2021,4,False
115,2024-07-18,2024-07,7,July,3,2024,3,False
116,2024-12-06,2024-12,12,December,4,2024,4,False
117,2022-12-12,2022-12,12,December,4,2022,0,False
118,2022-10-20,2022-10,10,October,4,2022,3,False
119,2021-03-24,2021-03,3,March,1,2021,2,False
120,2025-01-06,2025-01,1,January,1,2025,0,False
121,2021-03-06,2021-03,3,March,1,2021,5,True
122,2020-06-17,2020-06,6,June,2,2020,2,False
123,2023-09-01,2023-09,9,September,3,2023,4,False
124,2023-06-08,2023-06,6,June,2,2023,3,False
125,2021-03-25,2021-03,3,March,1,2021,3,False
126,2021-01-03,2021-01,1,January,1,2021,6,True
127,2022-08-12,2022-08,8,August,3,2022,4,False
128,2022-03-28,2022-03,3,March,1,2022,0,False
129,2023-07-15,2023-07,7,July,3,2023,5,True
130,2022-09-22,2022-09,9,September,3,2022,3,False
131,2022-12-20,2022-12,12,December,4,2022,1,False
132,2023-01-29,2023-01,1,January,1,2023,6,True
133,2024-03-24,2024-03,3,March,1,2024,6,True
134,2025-02-19,2025-02,2,February,1,2025,2,False
135,2024-07-13,2024-07,7,July,3,2024,5,True
136,2023-04-28,2023-04,4,April,2,2023,4,False
137,2020-12-05,2020-12,12,December,4,2020,5,True
138,2024-05-14,2024-05,5,May,2,2024,1,False
139,2022-01-18,2022-01,1,January,1,2022,1,False
140,2023-09-18,2023-09,9,September,3,2023,0,False
141,2021-05-12,2021-05,5,May,2,2021,2,False
142,2023-09-17,2023-09,9,September,3,2023,6,True
143,2024-09-06,2024-09,9,September,3,2024,4,False
144,2022-06-18,2022-06,6,June,2,2022,5,True
145,2020-05-22,2020-05,5,May,2,2020,4,False
146,2024-10-17,2024-10,10,October,4,2024,3,False
147,2022-03-22,2022-03,3,March,1,2022,1,False
148,2024-03-17,2024-03,3,March,1,2024,6,True
149,2020-04-02,2020-04,4,April,2,2020,3,False
150,2024-03-13,2024-03,3,March,1,2024,2,False
151,2023-03-21,2023-03,3,March,1,2023,1,False
152,2024-03-02,2024-03,3,March,1,2024,5,True
153,2021-04-30,2021-04,4,April,2,2021,4,False
154,2021-09-15,2021-09,9,September,3,2021,2,False
155,2023-01-28,2023-01,1,January,1,2023,5,True
156,2021-07-08,2021-07,7,July,3,2021,3,False
157,2020-04-08,2020-04,4,April,2,2020,2,False
158,2022-08-23,2022-08,8,August,3,2022,1,False
159,2022-12-17,2022-12,12,December,4,2022,5,True
160,2022-06-08,2022-06,6,June,2,2022,2,False
161,2020-08-28,2020-08,8,August,3,2020,4,False
162,2020-09-26,2020-09,9,September,3,2020,5,True
163,2020-12-13,2020-12,12,December,4,2020,6,True
164,2020-11-19,2020-11,11,November,4,2020,3,False
165,2023-09-13,2023-09,9,September,3,2023,2,False
166,2020-03-31,2020-03,3,March,1,2020,1,False
167,2023-08-04,2023-08,8,August,3,2023,4,False
168,2022-04-11,2022-04,4,April,2,2022,0,False
169,2021-12-31,2021-12,12,December,4,2021,4,False
170,2020-08-16,2020-08,8,August,3,2020,6,True
171,2025-02-02,2025-02,2,February,1,2025,6,True
172,2022-02-24,2022-02,2,February,1,2022,3,False
173,2024-02-25,2024-02,2,February,1,2024,6,True
174,2021-06-15,2021-06,6,June,2,2021,1,False
175,2022-12-08,2022-12,12,December,4,2022,3,False
176,2023-12-09,2023-12,12,December,4,2023,5,True
177,2022-07-16,2022-07,7,July,3,2022,5,True
178,2024-05-05,2024-05,5,May,2,2024,6,True
179,2021-10-04,2021-10,10,October,4,2021,0,False
180,2021-11-20,2021-11,11,November,4,2021,5,True
181,2020-09-15,2020-09,9,September,3,2020,1,False
182,2023-01-17,2023-01,1,January,1,2023,1,False
183,2020-06-16,2020-06,6,June,2,2020,1,False
184,2024-05-01,2024-05,5,May,2,2024,2,False
185,2023-12-07,2023-12,12,December,4,2023,3,False
186,2024-02-02,2024-02,2,February,1,2024,4,False
187,2024-06-23,2024-06,6,June,2,2024,6,True
188,2024-06-07,2024-06,6,June,2,2024,4,False
189,2023-10-13,2023-10,10,October,4,2023,4,False
190,2022-10-08,2022-10,10,October,4,2022,5,True
191,2023-10-27,2023-10,10,October,4,2023,4,False
192,2021-02-09,2021-02,2,February,1,2021,1,False
193,2020-11-03,2020-11,11,November,4,2020,1,False
194,2022-05-30,2022-05,5,May,2,2022,0,False
195,2024-06-16,2024-06,6,June,2,2024,6,True
196,2022-07-15,2022-07,7,July,3,2022,4,False
197,2021-07-18,2021-07,7,July,3,2021,6,True
198,2021-10-02,2021-10,10,October,4,2021,5,True
199,2024-04-16,2024-04,4,April,2,2024,1,False
200,2020-07-09,2020-07,7,July,3,2020,3,False
201,2020-07-25,2020-07,7,July,3,2020,5,True
202,2024-01-24,2024-01,1,January,1,2024,2,False
203,2021-11-13,2021-11,11,November,4,2021,5,True
204,2023-10-07,2023-10,10,October,4,2023,5,True
205,2021-10-23,2021-10,10,October,4,2021,5,True
206,2022-07-18,2022-07,7,July,3,2022,0,False
207,2024-08-23,2024-08,8,August,3,2024,4,False
208,2020-10-28,2020-10,10,October,4,2020,2,False
209,2024-06-15,2024-06,6,June,2,2024,5,True
210,2024-12-19,2024-12,12,December,4,2024,3,False
211,2020-09-04,2020-09,9,September,3,2020,4,False
212,2022-04-16,2022-04,4,April,2,2022,5,True
213,2024-08-29,2024-08,8,August,3,2024,3,False
214,2022-01-14,2022-01,1,January,1,2022,4,False
215,2024-04-07,2024-04,4,April,2,2024,6,True
216,2022-04-24,2022-04,4,April,2,2022,6,True
217,2020-08-27,2020-08,8,August,3,2020,3,False
218,2023-03-01,2023-03,3,March,1,2023,2,False
219,2020-10-02,2020-10,10,October,4,2020,4,False
220,2020-06-23,2020-06,6,June,2,2020,1,False
221,2022-08-01,2022-08,8,August,3,2022,0,False
222,2020-07-16,2020-07,7,July,3,2020,3,False
223,2020-05-02,2020-05,5,May,2,2020,5,True
224,2024-01-10,2024-01,1,January,1,2024,2,False
225,2020-09-30,2020-09,9,September,3,2020,2,False
226,2021-01-30,2021-01,1,January,1,2021,5,True
227,2025-03-14,2025-03,3,March,1,2025,4,False
228,2021-10-26,2021-10,10,October,4,2021,1,False
229,2023-01-11,2023-01,1,January,1,2023,2,False
230,2021-10-31,2021-10,10,October,4,2021,6,True
231,2023-05-04,2023-05,5,May,2,2023,3,False
232,2024-08-09,2024-08,8,August,3,2024,4,False
233,2022-08-21,2022-08,8,August,3,2022,6,True
234,2022-06-19,2022-06,6,June,2,2022,6,True
235,2025-01-29,2025-01,1,January,1,2025,2,False
236,2023-06-15,2023-06,6,June,2,2023,3,False
237,2023-10-18,2023-10,10,October,4,2023,2,False
238,2022-06-13,2022-06,6,June,2,2022,0,False
239,2024-06-12,2024-06,6,June,2,2024,2,False
240,2021-02-18,2021-02,2,February,1,2021,3,False
241,2023-05-29,2023-05,5,May,2,2023,0,False
242,2021-06-04,2021-06,6,June,2,2021,4,False
243,2024-01-22,2024-01,1,January,1,2024,0,False
244,2022-12-27,2022-12,12,December,4,2022,1,False
245,2024-03-30,2024-03,3,March,1,2024,5,True
246,2020-04-04,2020-04,4,April,2,2020,5,True
247,2023-01-22,2023-01,1,January,1,2023,6,True
248,2022-04-12,2022-04,4,April,2,2022,1,False
249,2023-12-13,2023-12,12,December,4,2023,2,False
250,2023-05-24,2023-05,5,May,2,2023,2,False
251,2020-11-29,2020-11,11,November,4,2020,6,True
252,2020-08-19,2020-08,8,August,3,2020,2,False
253,2024-12-26,2024-12,12,December,4,2024,3,False
254,2021-12-03,2021-12,12,December,4,2021,4,False
255,2021-09-14,2021-09,9,September,3,2021,1,False
256,2021-09-30,2021-09,9,September,3,2021,3,False
257,2021-12-22,2021-12,12,December,4,2021,2,False
258,2022-05-18,2022-05,5,May,2,2022,2,False
259,2020-10-08,2020-10,10,October,4,2020,3,False
260,2022-08-20,2022-08,8,August,3,2022,5,True
261,2024-11-25,2024-11,11,November,4,2024,0,False
262,2025-02-20,2025-02,2,February,1,2025,3,False
263,2025-03-07,2025-03,3,March,1,2025,4,False
264,2020-11-21,2020-11,11,November,4,2020,5,True
265,2024-10-01,2024-10,10,October,4,2024,1,False
266,2024-07-01,2024-07,7,July,3,2024,0,False
267,2020-11-23,2020-11,11,November,4,2020,0,False
268,2023-03-18,2023-03,3,March,1,2023,5,True
269,2022-10-19,2022-10,10,October,4,2022,2,False
270,2023-08-31,2023-08,8,August,3,2023,3,False
271,2021-06-06,2021-06,6,June,2,2021,6,True
272,2022-12-21,2022-12,12,December,4,2022,2,False
273,2024-02-12,2024-02,2,February,1,2024,0,False
274,2021-04-04,2021-04,4,April,2,2021,6,True
275,2021-02-12,2021-02,2,February,1,2021,4,False
276,2024-01-19,2024-01,1,January,1,2024,4,False
277,2022-12-25,2022-12,12,December,4,2022,6,True
278,2022-10-06,2022-10,10,October,4,2022,3,False
279,2020-04-27,2020-04,4,April,2,2020,0,False
280,2024-05-13,2024-05,5,May,2,2024,0,False
281,2020-10-23,2020-10,10,October,4,2020,4,False
282,2021-06-11,2021-06,6,June,2,2021,4,False
283,2022-11-23,2022-11,11,November,4,2022,2,False
284,2022-10-31,2022-10,10,October,4,2022,0,False
285,2023-11-06,2023-11,11,November,4,2023,0,False
286,2023-06-26,2023-06,6,June,2,2023,0,False
287,2023-09-30,2023-09,9,September,3,2023,5,True
288,2020-09-12,2020-09,9,September,3,2020,5,True
289,2020-11-27,2020-11,11,November,4,2020,4,False
290,2022-08-25,2022-08,8,August,3,2022,3,False
291,2023-08-23,2023-08,8,August,3,2023,2,False
292,2023-10-11,2023-10,10,October,4,2023,2,False
293,2022-04-21,2022-04,4,April,2,2022,3,False
294,2023-09-14,2023-09,9,September,3,2023,3,False
295,2020-04-29,2020-04,4,April,2,2020,2,False
296,2020-12-15,2020-12,12,December,4,2020,1,False
297,2024-07-11,2024-07,7,July,3,2024,3,False
298,2024-09-21,2024-09,9,September,3,2024,5,True
299,2022-10-21,2022-10,10,October,4,2022,4,False
300,2020-10-21,2020-10,10,October,4,2020,2,False
301,2022-01-11,2022-01,1,January,1,2022,1,False
302,2021-02-17,2021-02,2,February,1,2021,2,False
303,2021-11-06,2021-11,11,November,4,2021,5,True
304,2022-08-30,2022-08,8,August,3,2022,1,False
305,2023-06-04,2023-06,6,June,2,2023,6,True
306,2022-05-13,2022-05,5,May,2,2022,4,False
307,2023-01-23,2023-01,1,January,1,2023,0,False
308,2025-03-08,2025-03,3,March,1,2025,5,True
309,2024-04-24,2024-04,4,April,2,2024,2,False
310,2021-12-24,2021-12,12,December,4,2021,4,False
311,2023-09-07,2023-09,9,September,3,2023,3,False
312,2021-08-10,2021-08,8,August,3,2021,1,False
313,2024-05-26,2024-05,5,May,2,2024,6,True
314,2022-02-19,2022-02,2,February,1,2022,5,True
315,2024-12-09,2024-12,12,December,4,2024,0,False
316,2023-06-01,2023-06,6,June,2,2023,3,False
317,2023-11-05,2023-11,11,November,4,2023,6,True
318,2020-06-21,2020-06,6,June,2,2020,6,True
319,2020-10-26,2020-10,10,October,4,2020,0,False
320,2022-06-06,2022-06,6,June,2,2022,0,False
321,2021-11-11,2021-11,11,November,4,2021,3,False
322,2021-07-31,2021-07,7,July,3,2021,5,True
323,2024-04-13,2024-04,4,April,2,2024,5,True
324,2024-03-23,2024-03,3,March,1,2024,5,True
325,2021-05-07,2021-05,5,May,2,2021,4,False
326,2021-08-09,2021-08,8,August,3,2021,0,False
327,2025-02-09,2025-02,2,February,1,2025,6,True
328,2024-04-23,2024-04,4,April,2,2024,1,False
329,2023-02-23,2023-02,2,February,1,2023,3,False
330,2024-06-06,2024-06,6,June,2,2024,3,False
331,2025-01-27,2025-01,1,January,1,2025,0,False
332,2023-04-07,2023-04,4,April,2,2023,4,False
333,2022-01-20,2022-01,1,January,1,2022,3,False
334,2022-05-10,2022-05,5,May,2,2022,1,False
335,2024-05-29,2024-05,5,May,2,2024,2,False
336,2022-01-04,2022-01,1,January,1,2022,1,False
337,2024-05-02,2024-05,5,May,2,2024,3,False
338,2021-12-28,2021-12,12,December,4,2021,1,False
339,2023-08-17,2023-08,8,August,3,2023,3,False
340,2021-11-29,2021-11,11,November,4,2021,0,False
341,2021-06-13,2021-06,6,June,2,2021,6,True
342,2022-07-04,2022-07,7,July,3,2022,0,False
343,2021-06-27,2021-06,6,June,2,2021,6,True
344,2023-12-04,2023-12,12,December,4,2023,0,False
345,2022-08-09,2022-08,8,August,3,2022,1,False
346,2023-10-20,2023-10,10,October,4,2023,4,False
347,2022-02-10,2022-02,2,February,1,2022,3,False
348,2023-10-05,2023-10,10,October,4,2023,3,False
349,2021-04-03,2021-04,4,April,2,2021,5,True
350,2021-05-03,2021-05,5,May,2,2021,0,False
351,2024-02-11,2024-02,2,February,1,2024,6,True
352,2025-02-04,2025-02,2,February,1,2025,1,False
353,2022-10-12,2022-10,10,October,4,2022,2,False
354,2022-02-06,2022-02,2,February,1,2022,6,True
355,2020-11-09,2020-11,11,November,4,2020,0,False
356,2023-05-03,2023-05,5,May,2,2023,2,False
357,2022-10-04,2022-10,10,October,4,2022,1,False
358,2024-08-21,2024-08,8,August,3,2024,2,False
359,2020-05-13,2020-05,5,May,2,2020,2,False
360,2021-01-21,2021-01,1,January,1,2021,3,False
361,2022-02-28,2022-02,2,February,1,2022,0,False
362,2024-04-25,2024-04,4,April,2,2024,3,False
363,2023-03-10,2023-03,3,March,1,2023,4,False
364,2023-07-10,2023-07,7,July,3,2023,0,False
365,2024-07-28,2024-07,7,July,3,2024,6,True
366,2023-07-30,2023-07,7,July,3,2023,6,True
367,2024-10-05,2024-10,10,October,4,2024,5,True
368,2024-02-20,2024-02,2,February,1,2024,1,False
369,2023-04-19,2023-04,4,April,2,2023,2,False
370,2023-10-29,2023-10,10,October,4,2023,6,True
371,2022-03-08,2022-03,3,March,1,2022,1,False
372,2024-07-27,2024-07,7,July,3,2024,5,True
373,2022-07-05,2022-07,7,July,3,2022,1,False
374,2024-07-04,2024-07,7,July,3,2024,3,False
375,2024-02-28,2024-02,2,February,1,2024,2,False
376,2025-01-03,2025-01,1,January,1,2025,4,False
377,2021-12-07,2021-12,12,December,4,2021,1,False
378,2021-12-14,2021-12,12,December,4,2021,1,False
379,2020-11-30,2020-11,11,November,4,2020,0,False
380,2021-12-29,2021-12,12,December,4,2021,2,False
381,2024-07-08,2024-07,7,July,3,2024,0,False
382,2021-02-10,2021-02,2,February,1,2021,2,False
383,2023-12-28,2023-12,12,December,4,2023,3,False
384,2022-08-10,2022-08,8,August,3,2022,2,False
385,2023-10-17,2023-10,10,October,4,2023,1,False
386,2024-05-24,2024-05,5,May,2,2024,4,False
387,2024-02-10,2024-02,2,February,1,2024,5,True
388,2021-02-06,2021-02,2,February,1,2021,5,True
389,2022-03-16,2022-03,3,March,1,2022,2,False
390,2020-05-24,2020-05,5,May,2,2020,6,True
391,2025-02-16,2025-02,2,February,1,2025,6,True
392,2024-09-08,2024-09,9,September,3,2024,6,True
393,2022-06-29,2022-06,6,June,2,2022,2,False
394,2022-11-03,2022-11,11,November,4,2022,3,False
395,2023-11-28,2023-11,11,November,4,2023,1,False
396,2020-04-25,2020-04,4,April,2,2020,5,True
397,2022-03-23,2022-03,3,March,1,2022,2,False
398,2020-06-24,2020-06,6,June,2,2020,2,False
399,2024-11-24,2024-11,11,November,4,2024,6,True
400,2020-11-06,2020-11,11,November,4,2020,4,False
401,2023-10-24,2023-10,10,October,4,2023,1,False
402,2023-07-18,2023-07,7,July,3,2023,1,False
403,2022-10-22,2022-10,10,October,4,2022,5,True
404,2023-07-17,2023-07,7,July,3,2023,0,False
405,2025-02-24,2025-02,2,February,1,2025,0,False
406,2021-03-07,2021-03,3,March,1,2021,6,True
407,2023-10-25,2023-10,10,October,4,2023,2,False
408,2023-04-02,2023-04,4,April,2,2023,6,True
409,2024-10-21,2024-10,10,October,4,2024,0,False
410,2021-07-09,2021-07,7,July,3,2021,4,False
411,2022-04-08,2022-04,4,April,2,2022,4,False
412,2022-04-30,2022-04,4,April,2,2022,5,True
413,2023-01-20,2023-01,1,January,1,2023,4,False
414,2024-11-17,2024-11,11,November,4,2024,6,True
415,2022-04-23,2022-04,4,April,2,2022,5,True
416,2025-02-18,2025-02,2,February,1,2025,1,False
417,2021-05-27,2021-05,5,May,2,2021,3,False
418,2022-01-17,2022-01,1,January,1,2022,0,False
419,2025-01-15,2025-01,1,January,1,2025,2,False
420,2021-02-14,2021-02,2,February,1,2021,6,True
421,2024-08-31,2024-08,8,August,3,2024,5,True
422,2022-12-26,2022-12,12,December,4,2022,0,False
423,2024-03-21,2024-03,3,March,1,2024,3,False
424,2022-07-17,2022-07,7,July,3,2022,6,True
425,2024-12-05,2024-12,12,December,4,2024,3,False
426,2023-11-02,2023-11,11,November,4,2023,3,False
427,2022-11-13,2022-11,11,November,4,2022,6,True
428,2022-12-28,2022-12,12,December,4,2022,2,False
429,2025-02-26,2025-02,2,February,1,2025,2,False
430,2022-11-12,2022-11,11,November,4,2022,5,True
431,2021-06-07,2021-06,6,June,2,2021,0,False
432,2024-04-10,2024-04,4,April,2,2024,2,False
433,2023-12-21,2023-12,12,December,4,2023,3,False
434,2024-11-21,2024-11,11,November,4,2024,3,False
435,2022-03-17,2022-03,3,March,1,2022,3,False
436,2023-05-14,2023-05,5,May,2,2023,6,True
437,2024-10-07,2024-10,10,October,4,2024,0,False
438,2020-09-08,2020-09,9,September,3,2020,1,False
439,2021-08-19,2021-08,8,August,3,2021,3,False
440,2020-05-23,2020-05,5,May,2,2020,5,True
441,2020-04-18,2020-04,4,April,2,2020,5,True
442,2022-06-04,2022-06,6,June,2,2022,5,True
443,2022-11-16,2022-11,11,November,4,2022,2,False
444,2020-08-10,2020-08,8,August,3,2020,0,False
445,2024-06-22,2024-06,6,June,2,2024,5,True
446,2020-07-13,2020-07,7,July,3,2020,0,False
447,2021-03-13,2021-03,3,March,1,2021,5,True
448,2023-04-01,2023-04,4,April,2,2023,5,True
449,2020-11-10,2020-11,11,November,4,2020,1,False
450,2022-09-03,2022-09,9,September,3,2022,5,True
451,2020-10-01,2020-10,10,October,4,2020,3,False
452,2022-05-27,2022-05,5,May,2,2022,4,False
453,2024-03-10,2024-03,3,March,1,2024,6,True
454,2022-08-28,2022-08,8,August,3,2022,6,True
455,2021-04-27,2021-04,4,April,2,2021,1,False
456,2021-08-21,2021-08,8,August,3,2021,5,True
457,2021-05-16,2021-05,5,May,2,2021,6,True
458,2022-02-15,2022-02,2,February,1,2022,1,False
459,2023-11-30,2023-11,11,November,4,2023,3,False
460,2023-01-12,2023-01,1,January,1,2023,3,False
461,2023-05-19,2023-05,5,May,2,2023,4,False
462,2024-02-19,2024-02,2,February,1,2024,0,False
463,2021-12-01,2021-12,12,December,4,2021,2,False
464,2023-01-18,2023-01,1,January,1,2023,2,False
465,2020-12-23,2020-12,12,December,4,2020,2,False
466,2021-02-28,2021-02,2,February,1,2021,6,True
467,2020-04-22,2020-04,4,April,2,2020,2,False
468,2021-08-13,2021-08,8,August,3,2021,4,False
469,2023-07-20,2023-07,7,July,3,2023,3,False
470,2023-03-14,2023-03,3,March,1,2023,1,False
471,2023-11-07,2023-11,11,November,4,2023,1,False
472,2024-10-31,2024-10,10,October,4,2024,3,False
473,2021-10-29,2021-10,10,October,4,2021,4,False
474,2023-12-27,2023-12,12,December,4,2023,2,False
475,2023-06-25,2023-06,6,June,2,2023,6,True
476,2020-09-01,2020-09,9,September,3,2020,1,False
477,2025-02-01,2025-02,2,February,1,2025,5,True
478,2023-07-22,2023-07,7,July,3,2023,5,True
479,2022-02-04,2022-02,2,February,1,2022,4,False
480,2023-09-27,2023-09,9,September,3,2023,2,False
481,2025-01-30,2025-01,1,January,1,2025,3,False
482,2021-03-28,2021-03,3,March,1,2021,6,True
483,2021-12-25,2021-12,12,December,4,2021,5,True
484,2024-11-22,2024-11,11,November,4,2024,4,False
485,2024-10-08,2024-10,10,October,4,2024,1,False
486,2020-12-16,2020-12,12,December,4,2020,2,False
487,2025-03-15,2025-03,3,March,1,2025,5,True
488,2020-09-21,2020-09,9,September,3,2020,0,False
489,2025-01-11,2025-01,1,January,1,2025,5,True
490,2021-10-20,2021-10,10,October,4,2021,2,False
491,2021-10-19,2021-10,10,October,4,2021,1,False
492,2024-07-07,2024-07,7,July,3,2024,6,True
493,2023-07-25,2023-07,7,July,3,2023,1,False
494,2020-04-16,2020-04,4,April,2,2020,3,False
495,2020-07-04,2020-07,7,July,3,2020,5,True
496,2023-11-25,2023-11,11,November,4,2023,5,True
497,2023-07-02,2023-07,7,July,3,2023,6,True
498,2020-08-24,2020-08,8,August,3,2020,0,False
499,2022-11-07,2022-11,11,November,4,2022,0,False
500,2024-03-27,2024-03,3,March,1,2024,2,False
501,2024-09-01,2024-09,9,September,3,2024,6,True
502,2022-02-22,2022-02,2,February,1,2022,1,False
503,2022-02-11,2022-02,2,February,1,2022,4,False
504,2023-07-05,2023-07,7,July,3,2023,2,False
505,2020-10-27,2020-10,10,October,4,2020,1,False
506,2023-01-26,2023-01,1,January,1,2023,3,False
507,2021-09-06,2021-09,9,September,3,2021,0,False
508,2024-07-30,2024-07,7,July,3,2024,1,False
509,2022-03-15,2022-03,3,March,1,2022,1,False
510,2024-03-15,2024-03,3,March,1,2024,4,False
511,2022-07-23,2022-07,7,July,3,2022,5,True
512,2024-09-13,2024-09,9,September,3,2024,4,False
513,2022-01-25,2022-01,1,January,1,2022,1,False
514,2021-04-19,2021-04,4,April,2,2021,0,False
515,2022-06-24,2022-06,6,June,2,2022,4,False
